word_list,alternative_list
Krankenschwester,Pflegefachkraft
Krankenschwester,Pflegekraft
Krankenschwestern,Pflegekräfte
Krankenschwestern,Pflegepersonal
Krankenschwestern,Beschäftigte in der Krankenpflege
Krankenschwestern,professionell Pflegende
Krankenschwestern,Pflegende
Kreditnehmer,kreditnehmende Person
Kreditnehmer,Kreditnehmende
Kritiker,Kritisierende
Kritiker,Kritische
Kritiker,kritische Stimmen
Küchenhelfer,Küchenhilfe
Kunde,Kundschaft
Kundenauftrag,Auftrag durch Kundschaft
Kundenauftrag,Auftrag
Kundenbedürfnisse,Bedürfnisse der Kundschaft
Kundenberatung,Beratung der Kundschaft
kundenfreundlich,praktisch zu bedienen
kundenfreundlich,publikumsfreundlich
kundenfreundlich,nutzungsfreundlich
Kundengruppe,Kundschaft
kundenorientiert,publikumsorientiert
Kundenwerbung,Akquise
Kundenwünsche,Wünsche der Kundschaft
Kunstfreunde,Kunstbegeisterte
Künstler,Kunstschaffende
Künstlername,Pseudonym
Künstlername,Kunstname
Laborant,Laborfachkraft
Laborarbeiter,Laborfachkraft
Laie,Mensch ohne Fachkenntnisse
Laie,fachunkundige Person
Laie,fachfremde Person
Laien,Fachunkundige
Laien,Fachfremde
Landsmänner,Landsleute
Landwirte,Landwirtschaft Betreibende
Landwirte,landwirtschaftlich Beschäftigte
Landwirte,Beschäftigte in der Landwirtschaft
Lehrer,Lehrperson
Lehrer,Lehrkräfte
Lehrer,Lehrpersonen
Lehrer,das Kollegium
Lehrer,Lehrende
Lehrerpult,Tisch der Lehrkraft
Lehrerpult,Pult der Lehrkraft
Lehrerzimmer,Arbeitszimmer der Lehrkräfte
Lehrerzimmer,Teamraum
Lehrling,Nachwuchskraft
Lehrling,Person in Ausbildung
Lehrling,auszubildende Person
Lehrling,lernende Person
Lehrlinge,Auszubildende
Lehrlinge,Lernende
Lehrstuhlinhaber,Leitung des Lehrstuhles
Lehrstuhlinhaber,Leitende eines Lehrstuhles
Lehrstuhlleiter,Leitung des Lehrstuhls
Lehrstuhlleiter,Leitende eines Lehrstuhles
Leistungsbezieher,Leistung Beziehende
Leiter,Leitung
Lektor,das Lektorat
Anmerkungen des Lektors,Anmerkungen des Lektorats
Lektorstelle,Lektoratsstelle
Lenker,Fahrzeug lenkende Person
Leser,lesende Person
An den werten Leser,An die werten lesenden Personen
Leser,Leserschaft
Leser,lesende Zielgruppe
Leser,Lesende
Leserbrief,Kommentar zum Artikel
Leserbriefe,Ihre Meinungen
Leserbriefe,Ihre Meinungen
Leserbriefe,offene Zuschriften
leserfreundlich,lesefreundlich
Lieber ,An
Lieber ,Hallo
Lieber ,Guten Tag
Lieferant,Lieferfirma
Linkshänder,linkshändige Person
Literaturkritiker,Literatur kritisierende Person
Literaturkritiker,Literaturkritisierende
Macher,Aktive
Mädchen für alles,Mensch für alles
Mädchenname,Geburtsname
Magier,Zauberkunst ausübende Person
Man glaubt es kaum,Ich glaube es kaum
Manager,Management
Manager,Unternehmensführung
Manager,Führungskraft
manch einem,manch einer Person
Mann ,Person
alle Mann an Bord!,alle an Bord!
etwas am Mann tragen,etwas bei sich tragen
Not am Mann,Notsituation
Ein-Mann-Betrieb,Eine-Person-Betrieb
seinen Mann stehen,auf sich gestellt sein
seinen Mann stehen,sich behaupten
seinen Mann stehen,sich bewähren
Männchen,Figürchen
Männchen,Spielfigur
Manndeckung,1:1-Verteidigung
Mannsbild,gestandene Person
Massbild,Powermensch
Mannschaft,Team
Mannschaft,Gruppe
Mannschaft,Kollektiv
Damenmannschaft,Damenteam
Frauenmannschaft,Frauenteam
Mädchenmannschaft,Mädchenteam
Mathematiker,mathematisch qualifizierte Person
Mathematiker,sich mit Mathematik befassende Person
Matrose,Mitglied der Schiffsbesatzung
Medienanbieter,Medienorganisationen
Medienpartner,in Medienpartnerschaft mit
Mediziner,medizinisches Fachpersonal
Mediziner,ärztliches Fachpersonal
Meister,Erster Platz der Deutschen Meisterschaft
Meister,Erster Platz der Weltmeisterschaft
Meister,Erstplatzierte
Meisterschaft,Turnier
Meisterschaft,Wettbewerb
Mentor,Vorbild
Mentor,fürsprechende Person
Mentor,beratende Person
Mentor,fördernde Person
Mieter,Mietperson
Mieter,Mietpartei
Mieterverein,Mietverein
Mieterverein,Mietvertretung
Migrant,Person mit Migrationshintergrund
Migrant,eingewanderte Person
Migranten,Personen mit Migrationshintergrund
Migranten,Eingewanderte
Migranten,Zugewanderte
Migranten,Migrierte
Milchmädchenrechnung,Trugschluss
Milchmädchenrechnung,Irrtum
Milchmädchenrechnung,falsche Erwartung
Milchmädchenrechnung,Fehlschluss
Milchmädchenrechnung,Illusion
Mitarbeiter,Mitarbeitende
Mitarbeiter,Beschäftigte
Mitarbeiter,Angestellte
Mitarbeiter,Tätige
Mitarbeiter,Belegschaft
Mitarbeiter,Arbeitskräfte
Mitarbeiter,Kollegium
Mitarbeiter,Personal
Mitarbeiter,Teammitglieder
Mitarbeiter,Werktätige
Mitarbeiter,Betriebsangehörige
